Dates,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2013-07-31,INL IN Equity,NTCPH IN Equity,HCLT IN Equity,APTY IN Equity,IDEA IN Equity,OPTC IN Equity,RCOM IN Equity,SUNP IN Equity,UNSP IN Equity,AJP IN Equity,SUNTV IN Equity,EIM IN Equity,TCO IN Equity,SHRS IN Equity,BYKE IN Equity,ASTR IN Equity,MOTHERSOIN Equity,ABAN IN Equity,KAIR IN Equity,SJET IN Equity
2013-08-30,VKI IN Equity,MUTH IN Equity,STR IN Equity,RBXY IN Equity,JPVL IN Equity,TATA IN Equity,NMDC IN Equity,ASTR IN Equity,DELTA IN Equity,BGRL IN Equity,GVKP IN Equity,SAIL IN Equity,ESOIL IN Equity,JSP IN Equity,HCLT IN Equity,HEXW IN Equity,MMTC IN Equity,GMRI IN Equity,GIFL IN Equity,RW IN Equity
2013-09-30,KAIR IN Equity,GMRI IN Equity,AJP IN Equity,TBTE IN Equity,AL IN Equity,PVRL IN Equity,ALOK IN Equity,63MOONS IN Equity,SHRS IN Equity,JETIN IN Equity,NHPC IN Equity,AXSB IN Equity,POWF IN Equity,IRB IN Equity,RW IN Equity,DITV IN Equity,RCOM IN Equity,EROS IN Equity,BRCM IN Equity,BHEL IN Equity
2013-10-31,BFUT IN Equity,CEAT IN Equity,ADE IN Equity,SUEL IN Equity,HCC IN Equity,FB IN Equity,DELTA IN Equity,ALPM IN Equity,TCOM IN Equity,JPA IN Equity,JM IN Equity,BOI IN Equity,DISH IN Equity,BOB IN Equity,YES IN Equity,OBC IN Equity,INBK IN Equity,MCX IN Equity,SAIL IN Equity,TATA IN Equity
2013-11-29,CEAT IN Equity,ABAN IN Equity,TPW IN Equity,ASMN IN Equity,JUBLPHARIN Equity,TELX IN Equity,ARBP IN Equity,JKI IN Equity,ADE IN Equity,VKI IN Equity,JFI IN Equity,DISH IN Equity,IRB IN Equity,ICEM IN Equity,ESCORTS IN Equity,INBK IN Equity,ARVND IN Equity,TATA IN Equity,JPIN IN Equity,ILFT IN Equity
2013-12-31,BFUT IN Equity,GTIC IN Equity,TELX IN Equity,TVSL IN Equity,GITG IN Equity,ARBP IN Equity,APTY IN Equity,OPTC IN Equity,ARCP IN Equity,ORCP IN Equity,DEWH IN Equity,OBC IN Equity,CESC IN Equity,GMRI IN Equity,HCC IN Equity,JFI IN Equity,DISH IN Equity,ESCORTS IN Equity,HCLT IN Equity,DELTA IN Equity
2014-01-31,63MOONS IN Equity,GTIC IN Equity,RISL IN Equity,TRPC IN Equity,ARBP IN Equity,EDA IN Equity,MUTH IN Equity,HCLT IN Equity,ABAN IN Equity,MCHM IN Equity,OPTC IN Equity,FSOL IN Equity,ARVND IN Equity,RAJT IN Equity,VKI IN Equity,APTY IN Equity,ALPM IN Equity,MCX IN Equity,SUEL IN Equity,WPRO IN Equity
2014-02-28,MCHM IN Equity,MUS IN Equity,TELX IN Equity,RISL IN Equity,MUTH IN Equity,KSCL IN Equity,POWF IN Equity,JPVL IN Equity,VOLT IN Equity,HEXW IN Equity,63MOONS IN Equity,INDR IN Equity,ALPM IN Equity,SWH IN Equity,INOL IN Equity,APTY IN Equity,FSOL IN Equity,MTCL IN Equity,EDA IN Equity,NTCPH IN Equity
2014-03-31,SRF IN Equity,CEAT IN Equity,AL IN Equity,ADE IN Equity,VIP IN Equity,GTIC IN Equity,NJCC IN Equity,HCLI IN Equity,YES IN Equity,UNBK IN Equity,BOI IN Equity,OBC IN Equity,IRB IN Equity,INBK IN Equity,IDFC IN Equity,JKI IN Equity,HCC IN Equity,JPA IN Equity,JUBLPHARIN Equity,BGRL IN Equity
2014-04-30,SAPH IN Equity,WPL IN Equity,FEL IN Equity,UPLL IN Equity,NJCC IN Equity,ADV IN Equity,GRAN IN Equity,STR IN Equity,ASTM IN Equity,MUS IN Equity,BEML IN Equity,WLSI IN Equity,FSOL IN Equity,FNXC IN Equity,HDIL IN Equity,HCLI IN Equity,WLCO IN Equity,SUEL IN Equity,BHAFIN IN Equity,TRPC IN Equity
2014-05-30,HCC IN Equity,UT IN Equity,IVRC IN Equity,IRB IN Equity,SUEL IN Equity,BEML IN Equity,ASTM IN Equity,MMTC IN Equity,NETM IN Equity,POWF IN Equity,PTCIF IN Equity,BGRL IN Equity,GPPV IN Equity,JPVL IN Equity,HCLI IN Equity,VEDL IN Equity,TPW IN Equity,LANCI IN Equity,ADV IN Equity,ICEM IN Equity
2014-06-30,CEAT IN Equity,JKI IN Equity,DISH IN Equity,AJP IN Equity,ALOK IN Equity,HCC IN Equity,BIL IN Equity,MUS IN Equity,BHE IN Equity,SRF IN Equity,FSOL IN Equity,SUEL IN Equity,ARVND IN Equity,COXK IN Equity,SNDB IN Equity,TVSL IN Equity,BHFC IN Equity,STR IN Equity,CESC IN Equity,PUNJ IN Equity
2014-07-31,INDR IN Equity,BBTC IN Equity,TATASLPL IN Equity,NBCC IN Equity,MCX IN Equity,GRAN IN Equity,63MOONS IN Equity,COXK IN Equity,GPPV IN Equity,FNXC IN Equity,BHFC IN Equity,JUST IN Equity,MOTHERSOIN Equity,IRB IN Equity,ASTM IN Equity,IHFL IN Equity,MUS IN Equity,EIM IN Equity,ESOIL IN Equity,BIL IN Equity
2014-08-28,TVTN IN Equity,MRKS IN Equity,PCJL IN Equity,FML IN Equity,TMKN IN Equity,MEFO IN Equity,VOLT IN Equity,TTMT/A IN Equity,TVSL IN Equity,PTCIF IN Equity,ARVND IN Equity,KSCL IN Equity,BPCL IN Equity,HPCL IN Equity,GTIC IN Equity,HAVL IN Equity,GRAN IN Equity,BHE IN Equity,SRF IN Equity,ARBP IN Equity
2014-09-30,JKI IN Equity,FML IN Equity,GSFC IN Equity,NBCC IN Equity,HMFC IN Equity,MCHM IN Equity,CEAT IN Equity,MRF IN Equity,RSST IN Equity,PCJL IN Equity,JCHAC IN Equity,GTIC IN Equity,IFBI IN Equity,APTY IN Equity,EIM IN Equity,TVSL IN Equity,BBTC IN Equity,DISH IN Equity,GRAN IN Equity,MRKS IN Equity
2014-10-31,NJCC IN Equity,IFBI IN Equity,OBC IN Equity,NBCC IN Equity,YES IN Equity,RECL IN Equity,JYS IN Equity,BFUT IN Equity,POWF IN Equity,UNBK IN Equity,JPA IN Equity,SNDB IN Equity,GVKP IN Equity,ASTM IN Equity,CBK IN Equity,GTIC IN Equity,TVSL IN Equity,KSCL IN Equity,AL IN Equity,PTCIF IN Equity
2014-11-28,ONMB IN Equity,BBTC IN Equity,JBF IN Equity,JSAW IN Equity,GTIC IN Equity,JKI IN Equity,TXMRE IN Equity,ASTRA IN Equity,BOS IN Equity,WHIRL IN Equity,STR IN Equity,AJP IN Equity,CPBI IN Equity,JCHAC IN Equity,SAPH IN Equity,SBIN IN Equity,BHFC IN Equity,KKC IN Equity,JSW IN Equity,LICHF IN Equity
2014-12-31,GGAS IN Equity,BHE IN Equity,GPPV IN Equity,PTCIF IN Equity,NJCC IN Equity,WPL IN Equity,TVSL IN Equity,SAPH IN Equity,BHAFIN IN Equity,DCBB IN Equity,REDI IN Equity,GDPL IN Equity,TEEC IN Equity,JBF IN Equity,ESOIL IN Equity,STR IN Equity,JCHAC IN Equity,BAF IN Equity,IH IN Equity,BEML IN Equity
2015-01-30,SPADV IN Equity,HDIL IN Equity,MINF IN Equity,JETIN IN Equity,DBRL IN Equity,IHFL IN Equity,ADE IN Equity,PRSMJ IN Equity,AL IN Equity,ICEM IN Equity,JCHAC IN Equity,PCJL IN Equity,BOS IN Equity,IBREL IN Equity,HPCL IN Equity,MAXF IN Equity,WPL IN Equity,DEWH IN Equity,HCC IN Equity,JSW IN Equity
2015-02-27,TWL IN Equity,SUEL IN Equity,RLTA IN Equity,RNAVAL IN Equity,TELX IN Equity,WPL IN Equity,SIEM IN Equity,CPBI IN Equity,JSP IN Equity,HEXW IN Equity,BHFC IN Equity,MCX IN Equity,ASTM IN Equity,ASTRA IN Equity,SPADV IN Equity,UT IN Equity,FML IN Equity,UPLL IN Equity,ADE IN Equity,BHE IN Equity
2015-03-31,NTCPH IN Equity,NJCC IN Equity,SAPH IN Equity,STR IN Equity,SPADV IN Equity,CENT IN Equity,JCHAC IN Equity,ARBP IN Equity,WPL IN Equity,LPC IN Equity,HEXW IN Equity,IFBI IN Equity,ZYDUSLIFIN Equity,MOTHERSOIN Equity,TMKN IN Equity,NBCC IN Equity,BEML IN Equity,GRAN IN Equity,JETIN IN Equity,BHAFIN IN Equity
2015-04-30,CAST IN Equity,WLSI IN Equity,HDIL IN Equity,TATA IN Equity,JKI IN Equity,GGAS IN Equity,MINF IN Equity,DCBB IN Equity,JBF IN Equity,IHFL IN Equity,ARBP IN Equity,IDBI IN Equity,IOB IN Equity,INDUSTOW IN Equity,ONMB IN Equity,PRSMJ IN Equity,KNPL IN Equity,HOE IN Equity,AJP IN Equity,IFBI IN Equity
2015-05-29,CAST IN Equity,DITV IN Equity,BBTC IN Equity,AJP IN Equity,EIM IN Equity,SAPH IN Equity,STR IN Equity,WLSI IN Equity,INDUSTOW IN Equity,PAG IN Equity,VOLT IN Equity,JI IN Equity,SNDB IN Equity,BHE IN Equity,BRIT IN Equity,ENGR IN Equity,SYML IN Equity,KTG IN Equity,TELX IN Equity,SRF IN Equity
2015-06-30,MRL IN Equity,MAST IN Equity,RJEX IN Equity,WLCO IN Equity,CAST IN Equity,ABGS IN Equity,BAF IN Equity,NOCIL IN Equity,NBCC IN Equity,BEML IN Equity,GVKP IN Equity,WLSI IN Equity,SRF IN Equity,BRIT IN Equity,HPCL IN Equity,LICHF IN Equity,KTG IN Equity,ARBP IN Equity,EVRIN IN Equity,DITV IN Equity
2015-07-31,NIIT IN Equity,FML IN Equity,MRZI IN Equity,MRKS IN Equity,RJEX IN Equity,TAKE IN Equity,NILK IN Equity,TELX IN Equity,JETIN IN Equity,JKI IN Equity,WLSI IN Equity,HCLI IN Equity,LEEL IN Equity,IGM IN Equity,WLCO IN Equity,HPCL IN Equity,BEML IN Equity,BHAFIN IN Equity,SOTL IN Equity,BJFIN IN Equity
2015-08-31,JUBLPHARIN Equity,CEAT IN Equity,MRL IN Equity,SYML IN Equity,AMRJ IN Equity,NILK IN Equity,ZCVCS IN Equity,TELX IN Equity,AL IN Equity,DISH IN Equity,PAG IN Equity,IHFL IN Equity,SUEL IN Equity,ALPM IN Equity,JPA IN Equity,BJFIN IN Equity,NTCPH IN Equity,RJEX IN Equity,STR IN Equity,SAPH IN Equity
2015-09-30,DISH IN Equity,TAKE IN Equity,HDIL IN Equity,RCAPT IN Equity,KTG IN Equity,JPA IN Equity,CEAT IN Equity,JUST IN Equity,GMRI IN Equity,MRKS IN Equity,RPWR IN Equity,SOTL IN Equity,HSS IN Equity,WPL IN Equity,GRAN IN Equity,ESOIL IN Equity,RCOM IN Equity,RJEX IN Equity,IFCI IN Equity,NTCPH IN Equity
2015-10-30,SJET IN Equity,HCLI IN Equity,FML IN Equity,HCC IN Equity,JETIN IN Equity,JSP IN Equity,LEEL IN Equity,SECURKLO IN Equity,TTMT IN Equity,NIIT IN Equity,ADANI IN Equity,PCJL IN Equity,EDA IN Equity,JDPF IN Equity,UT IN Equity,IFCI IN Equity,VEDL IN Equity,TTMT/A IN Equity,COFORGE IN Equity,JPA IN Equity
2015-11-30,GP IN Equity,SJET IN Equity,FSOL IN Equity,TWL IN Equity,KWALITY IN Equity,VKI IN Equity,KSI IN Equity,GMRI IN Equity,MRPL IN Equity,WLSI IN Equity,HMFC IN Equity,HCLI IN Equity,KECI IN Equity,JETIN IN Equity,JUST IN Equity,GTIC IN Equity,OBC IN Equity,WLCO IN Equity,TTMT/A IN Equity,LEEL IN Equity
2015-12-31,RIIL IN Equity,RNAVAL IN Equity,JETIN IN Equity,TV18 IN Equity,TVTN IN Equity,ESOIL IN Equity,NILK IN Equity,RELI IN Equity,KWALITY IN Equity,SECURKLO IN Equity,TWL IN Equity,TATA IN Equity,BEML IN Equity,SJET IN Equity,TELX IN Equity,HNDL IN Equity,NTCPH IN Equity,HDIL IN Equity,FORH IN Equity,PCJL IN Equity
2016-01-29,TPW IN Equity,SJET IN Equity,GPPV IN Equity,SREI IN Equity,NILK IN Equity,PCJL IN Equity,RJEX IN Equity,PRJ IN Equity,VKI IN Equity,SECURKLO IN Equity,JDPF IN Equity,POL IN Equity,POL IN Equity.1,HMFC IN Equity,ESOIL IN Equity,BLIS IN Equity,DISH IN Equity,TATA IN Equity,DCBB IN Equity,ARBP IN Equity
2016-02-29,VKI IN Equity,KSCL IN Equity,TVTN IN Equity,IDEA IN Equity,CEAT IN Equity,TATA IN Equity,TAKE IN Equity,IFCI IN Equity,VEDL IN Equity,RJEX IN Equity,WLSI IN Equity,LT IN Equity,HNDL IN Equity,TPW IN Equity,ASMN IN Equity,CAIR IN Equity,ADANI IN Equity,NJCC IN Equity,GAYP IN Equity,ADSEZ IN Equity
2016-03-31,GEO IN Equity,JUST IN Equity,INDA IN Equity,LEEL IN Equity,JUBLPHARIN Equity,MRKS IN Equity,DELTA IN Equity,HSS IN Equity,BRCM IN Equity,SNDB IN Equity,EROS IN Equity,CAIR IN Equity,RELI IN Equity,SECURKLO IN Equity,TTMT IN Equity,JUBI IN Equity,TATA IN Equity,WPL IN Equity,DITV IN Equity,HNDL IN Equity
2016-04-29,ABAN IN Equity,DELTA IN Equity,FML IN Equity,FSOL IN Equity,ESCORTS IN Equity,CENT IN Equity,HSS IN Equity,DCBB IN Equity,HDIL IN Equity,ADE IN Equity,JSP IN Equity,SJET IN Equity,VEDL IN Equity,MGFL IN Equity,HMFC IN Equity,JETIN IN Equity,RCOM IN Equity,GRAN IN Equity,WLCO IN Equity,NILK IN Equity
2016-05-31,TML IN Equity,IBREL IN Equity,MGFL IN Equity,MCHM IN Equity,KRB IN Equity,SI IN Equity,BIOS IN Equity,CIFC IN Equity,PIEL IN Equity,LT IN Equity,IDFC IN Equity,KBL IN Equity,FB IN Equity,BSOFT IN Equity,HDIL IN Equity,NHPC IN Equity,UPLL IN Equity,KSCL IN Equity,GTIC IN Equity,HNDL IN Equity
2016-06-30,KIRI IN Equity,UT IN Equity,JPA IN Equity,TML IN Equity,MAXF IN Equity,PNB IN Equity,NAVA IN Equity,DSM IN Equity,GTIC IN Equity,ALBK IN Equity,SUBX IN Equity,OBC IN Equity,MGFL IN Equity,ESCORTS IN Equity,SREI IN Equity,UCO IN Equity,VEDL IN Equity,SHRS IN Equity,ICEM IN Equity,ADE IN Equity
2016-07-29,CAIR IN Equity,JPA IN Equity,GP IN Equity,CAFL IN Equity,BAF IN Equity,HPCL IN Equity,GHCL IN Equity,VEDL IN Equity,MRLN IN Equity,JSP IN Equity,BHAFIN IN Equity,RECL IN Equity,GALK IN Equity,ESCORTS IN Equity,MGFL IN Equity,TML IN Equity,BJFIN IN Equity,PNB IN Equity,ABNL IN Equity,CIFC IN Equity
2016-08-31,JUBLPHARIN Equity,DELTA IN Equity,JKI IN Equity,SCHI IN Equity,DEWH IN Equity,ESCORTS IN Equity,IGL IN Equity,ICEM IN Equity,TTCH IN Equity,HNDL IN Equity,RCAPT IN Equity,TWL IN Equity,PLNG IN Equity,ATLP IN Equity,IDFC IN Equity,ENGR IN Equity,GALK IN Equity,PIEL IN Equity,LTFH IN Equity,MRLN IN Equity
2016-09-30,SRTY IN Equity,DISH IN Equity,MCX IN Equity,CENT IN Equity,MRKS IN Equity,HCC IN Equity,VKI IN Equity,KSI IN Equity,ESCORTS IN Equity,GNFC IN Equity,KIRI IN Equity,JUBLPHARIN Equity,JKI IN Equity,IBREL IN Equity,NAVA IN Equity,IPCA IN Equity,PNB IN Equity,CBK IN Equity,UT IN Equity,LEEL IN Equity
2016-10-28,TMC IN Equity,GNFC IN Equity,GALK IN Equity,FML IN Equity,NMDC IN Equity,ARVND IN Equity,JI IN Equity,VEDL IN Equity,SCUF IN Equity,LTFH IN Equity,ABFRL IN Equity,DEWH IN Equity,FB IN Equity,CAIR IN Equity,CUBK IN Equity,TCOM IN Equity,LEEL IN Equity,JUBLPHARIN Equity,RECL IN Equity,MGFL IN Equity
2016-11-30,WLSI IN Equity,HNDL IN Equity,VEDL IN Equity,HZ IN Equity,CAIR IN Equity,DSIL IN Equity,ENGR IN Equity,POWF IN Equity,BRCM IN Equity,TCOM IN Equity,JUBLPHARIN Equity,IDEA IN Equity,RECL IN Equity,CBK IN Equity,HPCL IN Equity,CGPOWER IN Equity,HCLI IN Equity,MRL IN Equity,BIOS IN Equity,TWL IN Equity
2016-12-30,STC IN Equity,DATA IN Equity,HCC IN Equity,DSM IN Equity,DSIL IN Equity,IGL IN Equity,CRIN IN Equity,GP IN Equity,IOCL IN Equity,TTCH IN Equity,SUNTV IN Equity,VOLT IN Equity,BIOS IN Equity,KBL IN Equity,ENGR IN Equity,TTMT IN Equity,MAXF IN Equity,UPLL IN Equity,TATASLPL IN Equity,IBREL IN Equity
2017-01-31,JPA IN Equity,JTEKT IN Equity,SAIL IN Equity,TRCL IN Equity,VGRD IN Equity,BHAFIN IN Equity,ICEM IN Equity,DSIL IN Equity,INBK IN Equity,BAF IN Equity,ESCORTS IN Equity,HNDL IN Equity,JSTL IN Equity,DLFU IN Equity,YES IN Equity,MRL IN Equity,UT IN Equity,TATA IN Equity,HPCL IN Equity,CANF IN Equity
2017-02-28,JSP IN Equity,JUST IN Equity,JPA IN Equity,TML IN Equity,SUNTV IN Equity,DCBB IN Equity,ALKEM IN Equity,APTR IN Equity,RW IN Equity,EDEL IN Equity,UT IN Equity,MGFL IN Equity,ESCORTS IN Equity,KBL IN Equity,BJFIN IN Equity,LTFH IN Equity,NILK IN Equity,NTCPH IN Equity,DEWH IN Equity,WLSI IN Equity
2017-03-31,FLFL IN Equity,RCF IN Equity,SJET IN Equity,EROS IN Equity,DELTA IN Equity,DISH IN Equity,ESCORTS IN Equity,HDIL IN Equity,RECL IN Equity,JETIN IN Equity,MRF IN Equity,CAFL IN Equity,RCAPT IN Equity,EDEL IN Equity,IHFL IN Equity,TML IN Equity,ADSEZ IN Equity,KSCL IN Equity,CEAT IN Equity,SUNTV IN Equity
2017-04-28,DHANI IN Equity,IBREL IN Equity,BOI IN Equity,UFLX IN Equity,ICEM IN Equity,PIEL IN Equity,JKI IN Equity,MRPL IN Equity,DLFU IN Equity,SYR IN Equity,CANF IN Equity,OBC IN Equity,JI IN Equity,CBK IN Equity,HCC IN Equity,FB IN Equity,RW IN Equity,APTY IN Equity,BHE IN Equity,SUNTV IN Equity
2017-05-31,DHANI IN Equity,SINT IN Equity,ESCORTS IN Equity,CHMB IN Equity,KECI IN Equity,CRIN IN Equity,IHFL IN Equity,TATA IN Equity,IBREL IN Equity,DBEL IN Equity,FLFL IN Equity,MSIL IN Equity,CEAT IN Equity,SIB IN Equity,PIEL IN Equity,TVSL IN Equity,ADE IN Equity,JSP IN Equity,VKI IN Equity,SYR IN Equity
2017-06-30,JPA IN Equity,BEPL IN Equity,WH IN Equity,GMRI IN Equity,BEML IN Equity,SJET IN Equity,CANF IN Equity,IBREL IN Equity,VKI IN Equity,JETIN IN Equity,UT IN Equity,INFIBEAM IN Equity,RCAPT IN Equity,ADE IN Equity,JTEKT IN Equity,BIL IN Equity,LTFH IN Equity,UFLX IN Equity,DIVI IN Equity,KSCL IN Equity
2017-07-31,SINT IN Equity,TMC IN Equity,GVKP IN Equity,UT IN Equity,JUBI IN Equity,JPA IN Equity,HEG IN Equity,NOCIL IN Equity,INFIBEAM IN Equity,JSP IN Equity,WH IN Equity,BAF IN Equity,YES IN Equity,RCOM IN Equity,LTFH IN Equity,BJFIN IN Equity,GSFC IN Equity,BOI IN Equity,KECI IN Equity,DHANI IN Equity
2017-08-31,MEGH IN Equity,APTR IN Equity,PCJL IN Equity,HEG IN Equity,BD IN Equity,FRETAIL IN Equity,HPCL IN Equity,GRIL IN Equity,IOCL IN Equity,MRL IN Equity,PCBL IN Equity,SCI IN Equity,EDEL IN Equity,FCON IN Equity,TATACONS IN Equity,MRPL IN Equity,BEPL IN Equity,VKI IN Equity,BATA IN Equity,FLFL IN Equity
2017-09-29,BD IN Equity,GRIL IN Equity,TPC IN Equity,ITI IN Equity,HEG IN Equity,BBTC IN Equity,DIVI IN Equity,RINDL IN Equity,TFCI IN Equity,TMC IN Equity,FCON IN Equity,DHANI IN Equity,IGL IN Equity,DRRD IN Equity,PCBL IN Equity,RJEX IN Equity,NTCPH IN Equity,SUNTV IN Equity,MOTHERSOIN Equity,BIL IN Equity
2017-10-31,HEG IN Equity,SECURKLO IN Equity,GNFC IN Equity,BEPL IN Equity,KIRI IN Equity,GVKP IN Equity,RINDL IN Equity,IGLY IN Equity,PNB IN Equity,MEGH IN Equity,DBL IN Equity,BOI IN Equity,DELTA IN Equity,GRIL IN Equity,RDCK IN Equity,BBTC IN Equity,SOTL IN Equity,TMC IN Equity,GSFC IN Equity,COFORGE IN Equity
2017-11-30,SECURKLO IN Equity,RELG IN Equity,JFI IN Equity,MCLR IN Equity,BEPL IN Equity,INFIBEAM IN Equity,RINDL IN Equity,RDCK IN Equity,TTAN IN Equity,VKI IN Equity,TATACONS IN Equity,BIL IN Equity,INBK IN Equity,SOBHA IN Equity,IGLY IN Equity,CROMPTON IN Equity,GRIL IN Equity,WH IN Equity,HEXW IN Equity,DIVI IN Equity
2017-12-29,RCOM IN Equity,UT IN Equity,JPA IN Equity,PKI IN Equity,RCAPT IN Equity,HEG IN Equity,DCIL IN Equity,FCON IN Equity,BD IN Equity,RNAVAL IN Equity,BIOS IN Equity,JETIN IN Equity,GMRI IN Equity,ADANIT IN Equity,SAIL IN Equity,JSP IN Equity,GRIL IN Equity,SPADV IN Equity,DELTA IN Equity,VKI IN Equity
2018-01-31,COFORGE IN Equity,JSP IN Equity,ADE IN Equity,MTCL IN Equity,PCBL IN Equity,RDCK IN Equity,SOTL IN Equity,TECHM IN Equity,BSOFT IN Equity,IHFL IN Equity,HEG IN Equity,JUBI IN Equity,NOCIL IN Equity,HSCH IN Equity,BIOS IN Equity,IGLY IN Equity,KIRI IN Equity,DELTA IN Equity,HEXW IN Equity,INFIBEAM IN Equity
